paper1IV,paper1Ref,paper1LCI,paper1OR,paper1UCI,paper1REP,changed,paper2IV,paper2Ref,paper2LCI,paper2OR,paper2UCI,paper2REP,changed,paper4IV,paper4Ref,paper4LCI,paper4OR,paper4UCI,paper4REP,changed,paper5IV,paper5Ref,paper5LCI,paper5OR,paper5UCI,paper5REP,changed,paper5IV2,paper5LCI2,paper5OR2,paper5UCI2,paper5REP2,changed,paper5IV3,paper3IV,paper3Ref,paper3LCI1,paper3OR1,paper3UCI1,paper3REP1,changed,paper3IV2,paper3LCI2,paper3OR2,paper3UCI2,paper3REP2,changed,paper3IV3,paper3LCI3,paper3OR3,paper3UCI3,paper3REP3,changed
,,,,,,,,,,,,,,,,,,,,,Federal,,,,,,,Federal,0.14,0.38,1.01,Reproduced,,Federal,Quartile 4,,0.65,1.61,3.99,Reproduced,,Quartile 4,0.89,2.49,7.02,Reproduced,,Quartile 4,0.86,2.21,5.72,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quartile 4,,0.59,1.43,3.42,ReproducedWithoutWeights,,Quartile 4,0.77,2.06,5.52,ReproducedWithoutWeights,,Quartile 4,0.91,2.16,5.11,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared,,0.22,0.61,1.72,Original,,Shared,0.11,0.42,1.6,Original,,Shared,0.27,0.84,2.6,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared,,0.21,0.6,1.69,Reproduced,,Shared,0.13,0.47,1.75,Reproduced,,Shared,0.22,0.72,2.33,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared,,0.28,0.79,2.23,ReproducedWithoutWeights,,Shared,0.14,0.53,1.96,ReproducedWithoutWeights,,Shared,0.24,0.72,2.17,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,0.53,1.7,5.43,Original,,South,0.24,1.01,4.29,Original,,South,0.62,1.93,5.98,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,0.59,1.92,6.26,Reproduced,,South,0.27,1.17,5.03,Reproduced,,South,0.64,2,6.26,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,0.92,2.67,7.75,ReproducedWithoutWeights,,South,0.43,1.5,5.26,ReproducedWithoutWeights,,South,0.69,2.07,6.18,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,,0.36,0.68,1.29,Original,,**Undecided,0.24,0.49,1,Original,,Undecided,0.25,0.48,0.92,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,,0.35,0.67,1.27,Reproduced,,**Undecided,0.23,0.47,0.96,Reproduced,2sig,Undecided,0.25,0.48,0.92,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,,0.39,0.72,1.31,ReproducedWithoutWeights,,**Undecided,0.29,0.57,1.12,ReproducedWithoutWeights,,Undecided,0.27,0.51,0.95,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of community guide (ref=no),,0.92,1.65,2.97,Original,,Use of community guide (ref=no),1.28,2.5,4.86,Original,,Use of community guide (ref=no),1.22,2.17,3.86,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of community guide (ref=no),,0.89,1.61,2.91,Reproduced,,Use of community guide (ref=no),1.29,2.52,4.93,Reproduced,,Use of community guide (ref=no),1.18,2.1,3.73,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of community guide (ref=no),,0.82,1.4,2.38,ReproducedWithoutWeights,,Use of community guide (ref=no),1.4,2.61,4.86,ReproducedWithoutWeights,,Use of community guide (ref=no),1.47,2.54,4.4,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of core competencies (ref=no),,0.62,1.1,1.96,Original,,Use of core competencies (ref=no),0.42,0.83,1.64,Original,,Use of core competencies (ref=no),0.5,0.9,1.59,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of core competencies (ref=no),,0.63,1.13,2.03,Reproduced,,Use of core competencies (ref=no),0.43,0.85,1.67,Reproduced,,Use of core competencies (ref=no),0.54,0.95,1.69,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of core competencies (ref=no),,0.7,1.2,2.07,ReproducedWithoutWeights,,Use of core competencies (ref=no),0.54,1,1.84,ReproducedWithoutWeights,,Use of core competencies (ref=no),0.65,1.12,1.95,ReproducedWithoutWeights,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West,,0.57,1.67,4.91,Original,,West,0.48,1.53,4.84,Original,,West,0.56,1.68,5.03,Original,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West,,0.9,1.71,3.35,Reproduced,,West,0.47,1.47,4.66,Reproduced,,West,0.61,1.76,5.1,Reproduced,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West,,0.95,2.56,6.92,ReproducedWithoutWeights,,West,0.7,2.15,6.61,ReproducedWithoutWeights,,West,0.79,2.2,6.07,ReproducedWithoutWeights,
