paper,IV,ref,lci,or,uci,rep,changed
Paper 3 Table 3 Model 2,Governance type: State (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 2,Governance type: State (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,Governance type: State (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Jurisdiction: City (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 2,Jurisdiction: City (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,Jurisdiction: City (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Local,,0.38,1.34,4.73,Original,
Paper 3 Table 3 Model 2,Local,,0.46,1.59,5.52,Reproduced,
Paper 3 Table 3 Model 2,Local,,0.48,1.72,6.25,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Local BOH (ref=no),,0.39,0.76,1.49,Original,
Paper 3 Table 3 Model 2,Local BOH (ref=no),,0.4,0.78,1.51,Reproduced,
Paper 3 Table 3 Model 2,Local BOH (ref=no),,0.49,0.98,1.93,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Midwest,,0.72,2.1,6.11,Original,
Paper 3 Table 3 Model 2,Midwest,,0.71,2.1,6.18,Reproduced,
Paper 3 Table 3 Model 2,Midwest,,0.81,2.15,5.74,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Other,,0.12,0.49,1.96,Original,
Paper 3 Table 3 Model 2,Other,,0.13,0.53,2.11,Reproduced,
Paper 3 Table 3 Model 2,Other,,0.12,0.46,1.72,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Partnerships for land use (ref=no),,1.48,2.74,5.07,Original,
Paper 3 Table 3 Model 2,Partnerships for land use (ref=no),,1.55,2.87,5.31,Reproduced,
Paper 3 Table 3 Model 2,Partnerships for land use (ref=no),,1.85,3.39,6.19,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 2,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,"Population: <50,000 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 2,"Population: <50,000 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,"Population: <50,000 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Quartile 2,,1.06,2.42,5.5,Original,
Paper 3 Table 3 Model 2,Quartile 2,,1.1,2.51,5.74,Reproduced,
Paper 3 Table 3 Model 2,Quartile 2,,0.91,2.06,4.69,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Quartile 3,,1.24,3.07,7.61,Original,
Paper 3 Table 3 Model 2,Quartile 3,,1.3,3.19,7.82,Reproduced,
Paper 3 Table 3 Model 2,Quartile 3,,1.09,2.61,6.24,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Quartile 4,,0.93,2.6,7.28,Original,
Paper 3 Table 3 Model 2,Quartile 4,,0.89,2.49,7.02,Reproduced,
Paper 3 Table 3 Model 2,Quartile 4,,0.77,2.06,5.52,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Shared,,0.11,0.42,1.6,Original,
Paper 3 Table 3 Model 2,Shared,,0.13,0.47,1.75,Reproduced,
Paper 3 Table 3 Model 2,Shared,,0.14,0.53,1.96,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,South,,0.24,1.01,4.29,Original,
Paper 3 Table 3 Model 2,South,,0.27,1.17,5.03,Reproduced,
Paper 3 Table 3 Model 2,South,,0.43,1.5,5.26,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Undecided,,0.24,0.49,1,Original,
Paper 3 Table 3 Model 2,Undecided,,0.23,0.47,0.96,Reproduced,2non
Paper 3 Table 3 Model 2,Undecided,,0.29,0.57,1.12,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Use of community guide (ref=no),,1.28,2.5,4.86,Original,
Paper 3 Table 3 Model 2,Use of community guide (ref=no),,1.29,2.52,4.93,Reproduced,
Paper 3 Table 3 Model 2,Use of community guide (ref=no),,1.4,2.61,4.86,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Use of core competencies (ref=no),,0.42,0.83,1.64,Original,
Paper 3 Table 3 Model 2,Use of core competencies (ref=no),,0.43,0.85,1.67,Reproduced,
Paper 3 Table 3 Model 2,Use of core competencies (ref=no),,0.54,1,1.84,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,West,,0.48,1.53,4.84,Original,
Paper 3 Table 3 Model 2,West,,0.47,1.47,4.66,Reproduced,
Paper 3 Table 3 Model 2,West,,0.7,2.15,6.61,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,"50,000 - 499,999",,0.66,1.25,2.36,Original,
Paper 3 Table 3 Model 3,"50,000 - 499,999",,0.68,1.3,2.48,Reproduced,
Paper 3 Table 3 Model 3,"50,000 - 499,999",,0.64,1.25,2.44,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,"500,000+",,0.95,2.48,6.5,Original,
Paper 3 Table 3 Model 3,"500,000+",,1.08,2.87,7.59,Reproduced,2sig
Paper 3 Table 3 Model 3,"500,000+",,1,2.58,6.68,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Community health assessment (<5 years): Yes (ref=no),,0.85,1.8,3.84,Original,
Paper 3 Table 3 Model 3,Community health assessment (<5 years): Yes (ref=no),,0.91,1.95,4.19,Reproduced,
Paper 3 Table 3 Model 3,Community health assessment (<5 years): Yes (ref=no),,0.87,1.74,3.49,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Community health improvement plan (<5 years): Yes (ref=no),,0.89,1.76,3.47,Original,
Paper 3 Table 3 Model 3,Community health improvement plan (<5 years): Yes (ref=no),,0.8,1.59,3.14,Reproduced,
Paper 3 Table 3 Model 3,Community health improvement plan (<5 years): Yes (ref=no),,0.75,1.38,2.54,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,County,,0.25,0.63,1.6,Original,
Paper 3 Table 3 Model 3,County,,0.24,0.61,1.54,Reproduced,
Paper 3 Table 3 Model 3,County,,0.23,0.58,1.47,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Cross-jurisdictional sharing (ref=no),,0.77,1.35,2.38,Original,
Paper 3 Table 3 Model 3,Cross-jurisdictional sharing (ref=no),,0.8,1.41,2.5,Reproduced,
Paper 3 Table 3 Model 3,Cross-jurisdictional sharing (ref=no),,0.75,1.27,2.17,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Decided not to apply,,0.27,0.64,1.53,Original,
Paper 3 Table 3 Model 3,Decided not to apply,,0.27,0.65,1.57,Reproduced,
Paper 3 Table 3 Model 3,Decided not to apply,,0.37,0.83,1.87,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 3,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Geographic region: Northeast (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 3,Geographic region: Northeast (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,Geographic region: Northeast (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Governance type: State (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 3,Governance type: State (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,Governance type: State (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Jurisdiction: City (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 3,Jurisdiction: City (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,Jurisdiction: City (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Local,,0.8,2.47,7.62,Original,
Paper 3 Table 3 Model 3,Local,,0.8,2.51,7.88,Reproduced,
Paper 3 Table 3 Model 3,Local,,0.74,2.23,6.77,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Local BOH (ref=no),,0.56,0.99,1.76,Original,
Paper 3 Table 3 Model 3,Local BOH (ref=no),,0.59,1.05,1.86,Reproduced,
Paper 3 Table 3 Model 3,Local BOH (ref=no),,0.66,1.22,2.25,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Midwest,,0.66,1.69,4.37,Original,
Paper 3 Table 3 Model 3,Midwest,,0.69,1.73,4.37,Reproduced,
Paper 3 Table 3 Model 3,Midwest,,0.64,1.54,3.71,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Other,,0.19,0.54,1.55,Original,
Paper 3 Table 3 Model 3,Other,,0.19,0.56,1.6,Reproduced,
Paper 3 Table 3 Model 3,Other,,0.19,0.6,1.86,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Partnerships for land use (ref=no),,0.91,1.58,2.73,Original,
Paper 3 Table 3 Model 3,Partnerships for land use (ref=no),,0.91,1.59,2.76,Reproduced,
Paper 3 Table 3 Model 3,Partnerships for land use (ref=no),,0.97,1.68,2.9,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 3,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,"Population: <50,000 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 3,"Population: <50,000 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 3,"Population: <50,000 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Quartile 2,,0.81,1.77,3.87,Original,
Paper 3 Table 3 Model 3,Quartile 2,,0.86,1.89,4.16,Reproduced,
Paper 3 Table 3 Model 3,Quartile 2,,0.79,1.65,3.46,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Quartile 3,,0.64,1.57,3.8,Original,
Paper 3 Table 3 Model 3,Quartile 3,,0.69,1.68,4.08,Reproduced,
Paper 3 Table 3 Model 3,Quartile 3,,0.62,1.38,3.07,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Quartile 4,,0.86,2.18,5.54,Original,
Paper 3 Table 3 Model 3,Quartile 4,,0.86,2.21,5.72,Reproduced,
Paper 3 Table 3 Model 3,Quartile 4,,0.91,2.16,5.11,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Shared,,0.27,0.84,2.6,Original,
Paper 3 Table 3 Model 3,Shared,,0.22,0.72,2.33,Reproduced,
Paper 3 Table 3 Model 3,Shared,,0.24,0.72,2.17,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,South,,0.62,1.93,5.98,Original,
Paper 3 Table 3 Model 3,South,,0.64,2,6.26,Reproduced,
Paper 3 Table 3 Model 3,South,,0.69,2.07,6.18,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Undecided,,0.25,0.48,0.92,Original,
Paper 3 Table 3 Model 3,Undecided,,0.25,0.48,0.92,Reproduced,
Paper 3 Table 3 Model 3,Undecided,,0.27,0.51,0.95,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Use of community guide (ref=no),,1.22,2.17,3.86,Original,
Paper 3 Table 3 Model 3,Use of community guide (ref=no),,1.18,2.1,3.73,Reproduced,
Paper 3 Table 3 Model 3,Use of community guide (ref=no),,1.47,2.54,4.4,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,Use of core competencies (ref=no),,0.5,0.9,1.59,Original,
Paper 3 Table 3 Model 3,Use of core competencies (ref=no),,0.54,0.95,1.69,Reproduced,
Paper 3 Table 3 Model 3,Use of core competencies (ref=no),,0.65,1.12,1.95,ReproducedWithoutWeights,
Paper 3 Table 3 Model 3,West,,0.56,1.68,5.03,Original,
Paper 3 Table 3 Model 3,West,,0.61,1.76,5.1,Reproduced,
Paper 3 Table 3 Model 3,West,,0.79,2.2,6.07,ReproducedWithoutWeights,
